machine_type,air_temperature,process_temperature,torque,rotational_speed,tool_wear,machine_failure
M,298.1,308.6,42.8,1551,0,0
L,298.2,308.7,46.3,1408,3,0
L,298.1,308.5,49.4,1498,5,0
L,298.2,308.6,39.5,1433,7,0
L,298.2,308.7,40.0,1408,9,0
M,298.1,308.6,41.9,1425,11,0
L,298.1,308.6,42.4,1558,14,0
L,298.1,308.6,40.2,1527,16,0
M,298.3,308.7,28.6,1667,18,0
M,298.5,309.0,28.0,1741,21,0
H,298.4,308.9,23.9,1782,24,0
H,298.6,309.1,44.3,1423,29,0
M,298.6,309.1,51.1,1339,34,0
M,298.6,309.2,30.0,1742,37,0
L,298.6,309.2,19.6,2035,40,0
L,298.6,309.2,48.4,1542,42,0
M,298.6,309.2,46.6,1311,44,0
M,298.7,309.2,45.6,1410,47,0
H,298.8,309.2,54.5,1306,50,0
M,298.9,309.3,32.5,1632,55,0
H,298.9,309.3,42.7,1375,58,0
L,298.8,309.3,44.8,1450,63,0
M,298.9,309.3,30.7,1581,65,0
L,299.0,309.4,25.7,1758,68,0
M,299.0,309.4,37.3,1561,70,0
L,299.0,309.5,23.3,1861,73,0
L,299.1,309.5,39.0,1512,75,0
H,299.1,309.4,24.6,1811,77,0
L,299.1,309.4,44.2,1439,82,0
L,299.0,309.4,30.1,1693,84,0
M,299.1,309.5,48.2,1339,86,0
L,299.0,309.4,25.5,1798,89,0
L,299.0,309.4,48.3,1419,91,0
L,298.9,309.3,32.5,1665,93,0
M,298.8,309.1,34.7,1559,95,0
M,298.8,309.2,48.6,1452,98,0
M,298.9,309.2,36.7,1581,101,0
L,298.8,309.1,39.2,1439,104,0
H,298.9,309.2,50.7,1379,106,0
L,298.8,309.1,52.5,1350,111,0
L,298.8,309.1,45.4,1362,113,0
L,298.8,309.1,50.8,1368,115,0
M,298.8,309.1,49.1,1368,117,0
H,298.8,309.2,48.5,1372,120,0
M,298.8,309.1,47.5,1472,125,0
L,298.8,309.1,49.1,1489,128,0
M,298.7,309.0,25.8,1843,130,0
L,298.8,309.1,46.3,1418,133,0
H,298.8,309.2,53.9,1425,135,0
M,298.9,309.2,44.1,1412,140,0
L,298.9,309.1,4.6,2861,143,1
L,298.9,309.1,54.9,1383,145,0
H,298.8,309.0,43.8,1497,147,0
